activity_type,date,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,avg_stride_length,climb_time,temperature,number_of_laps,number_of_runs,month,year,week,weekday,quarter,time_exercise,date_exercise,day_of_week,time_day,week_or_end,cal_per_km,temp_buckets
Treadmill Running,2020-10-18 16:33:42,Treadmill Running,1.8,160.0,00:10:40,140,153,2.2,146.0,167.0,9:33,7:42,1.14,10:40,24.0,2,2.0,10,2020,42,6,4,16:33:42,2020-10-18,Sunday,afternoon,weekend,88.89,Hot (>23C)
Running,2020-10-17 17:26:12,Sydney Running,8.06,757.0,00:45:40,158,180,4.2,159.0,168.0,9:07,7:53,1.11,45:40,20.999999999999996,6,6.0,10,2020,42,5,4,17:26:12,2020-10-17,Saturday,afternoon,weekend,93.92,Normal (14-23C)
Elliptical,2020-10-16 18:02:39,Elliptical,0.0,213.0,00:19:43,117,149,2.0,95.0,150.0,,,0.0,19:43,25.999999999999996,1,1.0,10,2020,42,4,4,18:02:39,2020-10-16,Friday,night,week_day,0.0,Hot (>23C)
Treadmill Running,2020-10-15 18:20:50,Treadmill Running,3.22,249.0,00:15:39,148,162,2.7,150.0,183.0,7:50,7:03,1.15,15:39,24.0,2,2.0,10,2020,42,3,4,18:20:50,2020-10-15,Thursday,night,week_day,77.33,Hot (>23C)
Treadmill Running,2020-10-14 16:32:58,Treadmill Running,1.27,98.0,00:06:43.7,136,146,1.7,169.0,179.0,8:28,7:14,1.12,6:43.7,25.0,1,1.0,10,2020,42,2,4,16:32:58,2020-10-14,Wednesday,afternoon,week_day,77.17,Hot (>23C)
Running,2020-10-13 17:41:20,Sydney Running,3.7,287.0,00:18:11,148,166,2.9,165.0,173.0,7:54,5:51,1.23,18:11,25.0,3,3.0,10,2020,42,1,4,17:41:20,2020-10-13,Tuesday,afternoon,week_day,77.57,Hot (>23C)
Running,2020-10-12 17:35:54,Sydney Running,8.06,648.0,00:41:02,152,165,3.6,164.0,175.0,8:11,6:55,1.19,41:02,21.999999999999996,6,6.0,10,2020,42,0,4,17:35:54,2020-10-12,Monday,afternoon,week_day,80.4,Normal (14-23C)
Treadmill Running,2020-10-09 19:09:18,Treadmill Running,1.32,98.0,00:06:45.3,137,147,1.7,175.0,181.0,8:15,7:46,1.12,6:45.3,23.000000000000004,1,1.0,10,2020,41,4,4,19:09:18,2020-10-09,Friday,night,week_day,74.24,Hot (>23C)
Running,2020-10-08 17:13:50,Sydney Running,5.36,404.0,00:27:17,145,164,3.1,165.0,173.0,8:11,7:20,1.19,27:17,24.0,4,4.0,10,2020,41,3,4,17:13:50,2020-10-08,Thursday,afternoon,week_day,75.37,Hot (>23C)
Treadmill Running,2020-10-07 16:28:27,Treadmill Running,1.3,95.0,00:06:28.1,140,149,1.8,176.0,181.0,7:58,7:25,1.15,6:28.1,23.000000000000004,1,1.0,10,2020,41,2,4,16:28:27,2020-10-07,Wednesday,afternoon,week_day,73.08,Hot (>23C)
Running,2020-10-06 16:30:31,Sydney Running,4.84,361.0,00:23:37,148,166,3.1,166.0,183.0,7:51,6:54,1.24,23:37,20.999999999999996,4,4.0,10,2020,41,1,4,16:30:31,2020-10-06,Tuesday,afternoon,week_day,74.59,Normal (14-23C)
Running,2020-10-04 17:58:52,Sydney Running,6.55,532.0,00:36:22,146,162,3.3,161.0,171.0,8:56,7:41,1.12,36:22,23.000000000000004,5,5.0,10,2020,40,6,4,17:58:52,2020-10-04,Sunday,afternoon,weekend,81.22,Hot (>23C)
