Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Treadmill Running,2020-10-18 16:33:42,false,"Treadmill Running","1.12","160","00:10:40","140","153","2.2","146","167","9:33","7:42","--","--","1.14","0.0","0.0","0.0","0.0","0.0","10:40","0:00","75.2","0:00","No","02:11.66","2","0.0"
Running,2020-10-17 17:26:12,false,"Sydney Running","5.01","757","00:45:40","158","180","4.2","159","168","9:07","7:53","259","299","1.11","0.0","0.0","0.0","0.0","0.0","45:40","0:00","69.8","0:00","No","00:04.58","6","0.0"
Elliptical,2020-10-16 18:02:39,false,"Elliptical","0.00","213","00:19:43","117","149","2.0","95","150","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","19:43","0:00","78.8","0:00","No","19:42.75","1","0.0"
Treadmill Running,2020-10-15 18:20:50,false,"Treadmill Running","2.00","249","00:15:39","148","162","2.7","150","183","7:50","7:03","--","--","1.15","0.0","0.0","0.0","0.0","0.0","15:39","0:00","75.2","0:00","No","07:49.29","2","0.0"
Treadmill Running,2020-10-14 16:32:58,false,"Treadmill Running","0.79","98","00:06:43.7","136","146","1.7","169","179","8:28","7:14","--","--","1.12","0.0","0.0","0.0","0.0","0.0","6:43.7","0:00","77.0","0:00","No","06:43.71","1","0.0"
Running,2020-10-13 17:41:20,false,"Sydney Running","2.30","287","00:18:11","148","166","2.9","165","173","7:54","5:51","154","161","1.23","0.0","0.0","0.0","0.0","0.0","18:11","0:00","77.0","0:00","No","02:16.33","3","0.0"
Running,2020-10-12 17:35:54,false,"Sydney Running","5.01","648","00:41:02","152","165","3.6","164","175","8:11","6:55","312","292","1.19","0.0","0.0","0.0","0.0","0.0","41:02","0:00","71.6","0:00","No","00:04.64","6","0.0"
Treadmill Running,2020-10-09 19:09:18,false,"Treadmill Running","0.82","98","00:06:45.3","137","147","1.7","175","181","8:15","7:46","--","--","1.12","0.0","0.0","0.0","0.0","0.0","6:45.3","0:00","73.4","0:00","No","06:45.35","1","0.0"
Running,2020-10-08 17:13:50,false,"Sydney Running","3.33","404","00:27:17","145","164","3.1","165","173","8:11","7:20","213","223","1.19","0.0","0.0","0.0","0.0","0.0","27:17","0:00","75.2","0:00","No","02:41.67","4","0.0"
Treadmill Running,2020-10-07 16:28:27,false,"Treadmill Running","0.81","95","00:06:28.1","140","149","1.8","176","181","7:58","7:25","--","--","1.15","0.0","0.0","0.0","0.0","0.0","6:28.1","0:00","73.4","0:00","No","06:28.14","1","0.0"
Running,2020-10-06 16:30:31,false,"Sydney Running","3.01","361","00:23:37","148","166","3.1","166","183","7:51","6:54","177","190","1.24","0.0","0.0","0.0","0.0","0.0","23:37","0:00","69.8","0:00","No","00:05.39","4","0.0"
Running,2020-10-04 17:58:52,false,"Sydney Running","4.07","532","00:36:22","146","162","3.3","161","171","8:56","7:41","335","325","1.12","0.0","0.0","0.0","0.0","0.0","36:22","0:00","73.4","0:00","No","00:36.33","5","0.0"
Elliptical,2020-10-03 16:46:25,false,"Elliptical","0.00","100","00:10:01","114","134","0.9","88","125","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","10:01","0:00","77.0","0:00","No","10:00.72","1","0.0"
Running,2020-10-02 18:03:52,false,"Sydney Running","3.00","407","00:25:06","159","172","3.4","163","174","8:22","6:53","249","249","1.18","0.0","0.0","0.0","0.0","0.0","25:06","0:00","66.2","0:00","No","00:01.49","4","0.0"
Running,2020-09-29 15:17:38,false,"Sydney Running","4.10","523","00:31:52","161","177","3.8","166","181","7:47","6:13","338","335","1.25","0.0","0.0","0.0","0.0","0.0","31:52","0:00","64.4","0:00","No","00:45.01","5","0.0"
